sha256,folder,source,name,path,category,arch,elf_type,pie,linkage,size
0295484aea2cd54ad0cc4f09fbea5a3285c3361d7db716809d1421a39adb8b91,Benign_deb12_fileio,deb12,bunzip2,/usr/bin/bunzip2,fileio,x86-64,DYN,yes,dynamic,39224
e296487a3a8f10a1c55e56056ba4bbb2d3ca22ae625af9f0d5cebaed28e55fa4,Benign_deb12_fileio,deb12,cp,/usr/bin/cp,fileio,x86-64,DYN,yes,dynamic,151152
878c2b98175bb6a41fd30ff6f7e262889c40192a4dbd13470a773680216b37f1,Benign_deb12_fileio,deb12,cpio,/usr/bin/cpio,fileio,x86-64,DYN,yes,dynamic,162368
9f3cb6157563063827c7a8c1e191db13ad1d2a3c6821270e4dc520f6cbfb766d,Benign_deb12_fileio,deb12,dd,/usr/bin/dd,fileio,x86-64,DYN,yes,dynamic,89240
c703b94ad3448bccc79cda80520964c8d371918a39eecc27f8d60f4e8891770a,Benign_deb12_fileio,deb12,find,/usr/bin/find,fileio,x86-64,DYN,yes,dynamic,224848
2540879925a6881e3877ff7e3330746ba3027b04edf16a3a12dccd1644c4f32d,Benign_deb12_fileio,deb12,git,/usr/bin/git,fileio,x86-64,DYN,yes,dynamic,3713416
f3a8498aa43e3a45f265d14211bba2653cacf2b9631f373db97b30f2cb96c738,Benign_deb12_fileio,deb12,gpg,/usr/bin/gpg,fileio,x86-64,DYN,yes,dynamic,1108440
376889550a0155d984b24341f6e8fe5474aeb87619150e691773d93e1d013941,Benign_deb12_fileio,deb12,gpg-agent,/usr/bin/gpg-agent,fileio,x86-64,DYN,yes,dynamic,435424
14870b448ea181864c78c382b9b5b379ef939e8500c8eb1498134869d4a9d02d,Benign_deb12_fileio,deb12,gpgconf,/usr/bin/gpgconf,fileio,x86-64,DYN,yes,dynamic,178928
407a10bc17ba2c6e94d0f631e99eb92cd0fd335a51ffedbd135fa58180f94f2f,Benign_deb12_fileio,deb12,gpgsm,/usr/bin/gpgsm,fileio,x86-64,DYN,yes,dynamic,540320
953d326212574b5ad3cbe5f87034b0c142b6e6d71bb619c51eaa3d2ce47f7e24,Benign_deb12_fileio,deb12,gzip,/usr/bin/gzip,fileio,x86-64,DYN,yes,dynamic,98136
9848c092188028f520c3742c609f7fdf2b16cbf5b4ac128fbf69c13b9620f124,Benign_deb12_fileio,deb12,install,/usr/bin/install,fileio,x86-64,DYN,yes,dynamic,159544
d7958b8fa6659cb45852d061dcecd84a897f26a0f98a8b52d787b35db3791dbb,Benign_deb12_fileio,deb12,lz4,/usr/bin/lz4,fileio,x86-64,DYN,yes,dynamic,211592
a781be46e6f27ca5d7e119225429a4a12ef941eea15ed2c44eea0c8bca7e4ebe,Benign_deb12_fileio,deb12,mv,/usr/bin/mv,fileio,x86-64,DYN,yes,dynamic,142968
b2eca5aab93387bfd865ba65df16b904458229093a380bf03f391b1e10658304,Benign_deb12_fileio,deb12,openssl,/usr/bin/openssl,fileio,x86-64,DYN,yes,dynamic,976136
ffdb0ad613a9d22b02816d1c67765f611c90fa98047b83917abe2c4677d0f4b3,Benign_deb12_fileio,deb12,pigz,/usr/bin/pigz,fileio,x86-64,DYN,yes,dynamic,137424
58e8be37049deaaacaf56196d507584b94e87a35a524db0c0459eb5ee6ae4b8c,Benign_deb12_fileio,deb12,rm,/usr/bin/rm,fileio,x86-64,DYN,yes,dynamic,72752
8ceb40e530db427676a435cc48042c9b3ea625fbaa57c433b73ccd7efdd665d3,Benign_deb12_fileio,deb12,rsync,/usr/bin/rsync,fileio,x86-64,DYN,yes,dynamic,526696
72dcf1ad8560de658e925dfee171565e0c3f3be38236cf725846bc44971cf4b0,Benign_deb12_fileio,deb12,sed,/usr/bin/sed,fileio,x86-64,DYN,yes,dynamic,126424
df3e060af6fefde5ef7579833938dcca23b5c81f900ae0470a28ef96015d5897,Benign_deb12_fileio,deb12,shred,/usr/bin/shred,fileio,x86-64,DYN,yes,dynamic,64656
6d845fc5f747178e9a4d7443fbd2495030a78e5790f796ceadaaaf61b5299f10,Benign_deb12_fileio,deb12,shuf,/usr/bin/shuf,fileio,x86-64,DYN,yes,dynamic,60400
26d29d4f3f2a9537f9104b0e496c6110ec266682bfd5f00b312a8fff723ffc00,Benign_deb12_fileio,deb12,sort,/usr/bin/sort,fileio,x86-64,DYN,yes,dynamic,118456
465258f620db346b6b0f85acba59f48130b7a1f87985f018da218b4ee6f5bdcd,Benign_deb12_fileio,deb12,split,/usr/bin/split,fileio,x86-64,DYN,yes,dynamic,60984
78fbb4b1bc1fdcb0e3f321ffbcc3628ebff0a961d3c56d4d623f8daef59886c8,Benign_deb12_fileio,deb12,sqlite3,/usr/bin/sqlite3,fileio,x86-64,DYN,yes,dynamic,306888
4e11647a9c86fb8857768bd622c43ed0662d7019f60f5bdd12fb15ac5f087070,Benign_deb12_fileio,deb12,tar,/usr/bin/tar,fileio,x86-64,DYN,yes,dynamic,531984
1613befc577b68e65c940d45a1db6e79b25074dc3d8ddb1f2b3cb3c60ce5fc4d,Benign_deb12_fileio,deb12,tee,/usr/bin/tee,fileio,x86-64,DYN,yes,dynamic,43984
4e5f263a7415b772646de61ea89d1ab62c21b2d64a15b0d426e618fee45e6e9b,Benign_deb12_fileio,deb12,truncate,/usr/bin/truncate,fileio,x86-64,DYN,yes,dynamic,43920
fa4b862a50784b6630259e50d5c4fd85d59006aa2190b23e840d2747e46f0484,Benign_deb12_fileio,deb12,unzip,/usr/bin/unzip,fileio,x86-64,DYN,yes,dynamic,179248
57a4229aa1c6d96fc0450f4eb75791fb3f47e1abec4cee1efe0e1ab9ac8801aa,Benign_deb12_fileio,deb12,xz,/usr/bin/xz,fileio,x86-64,DYN,yes,dynamic,84680
f718b59a4b1a647d2a9ce52fdec4011b626f581d5fd34ba598aae333611600ce,Benign_deb12_fileio,deb12,zip,/usr/bin/zip,fileio,x86-64,DYN,yes,dynamic,217360
cee5aaa2d86c0bf168fc57b759439f5900f2a3b55a9250271c473a7b08e3d3e3,Benign_deb12_fileio,deb12,zstd,/usr/bin/zstd,fileio,x86-64,DYN,yes,dynamic,1276544
3ca1d8d1df0d55fecdcabd5705f476df249c437464fdbdfaf3210a09d9df3bd3,Benign_deb12_fileio,deb12,dump,/usr/lib/apt/solvers/dump,fileio,x86-64,DYN,yes,dynamic,22848
700c865a0061d4d3345bba8afb2828ff86efb4945c4ce78678e746b6e1a650b5,Benign_deb12_fileio,deb12,7z,/usr/lib/p7zip/7z,fileio,x86-64,DYN,yes,dynamic,707064
cc1fcc2ed7de050492763d0b77bb364f025ef828dda05d8c8ca7a0177a4f6697,Benign_deb12_fileio,deb12,7za,/usr/lib/p7zip/7za,fileio,x86-64,DYN,yes,dynamic,1665616
56f499760ece55beff19e93809c6e4ca0eba00e772649c15ccc8a76dfc9b8cb3,Benign_deb12_fileio,deb12,7zr,/usr/lib/p7zip/7zr,fileio,x86-64,DYN,yes,dynamic,1186184
f9e46303b0bded0078ffd1af3e5e651f5ed59f977f3474ce027081b299d485fc,Benign_deb12_fileio,deb12,cryptsetup,/usr/sbin/cryptsetup,fileio,x86-64,DYN,yes,dynamic,225720
19c626251526131ac9340826c8f7bcb693c6ceb9d5da55919c3aa45d972b704f,Benign_deb12_general,deb12,libpcre2-8.so.0.11.2,/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.11.2,general,x86-64,DYN,no,static,629384
2feeee09768665c44514696ef3b919426fc6f4726f8868e3d9a8885b7137215d,Benign_deb12_general,deb12,libkrb5support.so.0.1,/usr/lib/x86_64-linux-gnu/libkrb5support.so.0.1,general,x86-64,DYN,no,static,52224
987014d86311daf58f2ec2326f6467ce5d01dfd863558aaf915fcf8ce36269f9,Benign_deb12_general,deb12,setsid,/usr/bin/setsid,general,x86-64,DYN,yes,dynamic,14648
87a416351d151a429202170aad2cf8145f8ac2d29f9cacb147972ad388914a47,Benign_deb12_general,deb12,CP1250.so,/usr/lib/x86_64-linux-gnu/gconv/CP1250.so,general,x86-64,DYN,no,static,18680
9cbd10033851db4392d3bf086c27eeede819f75ed6fd48cd4e9d1fef95880420,Benign_deb12_general,deb12,ISO8859-9.so,/usr/lib/x86_64-linux-gnu/gconv/ISO8859-9.so,general,x86-64,DYN,no,static,18680
128bec462fe2977be5a6ccf32937fd6397309564330b643ec489291fb1e3c6b9,Benign_deb12_general,deb12,Cwd.so,/usr/lib/x86_64-linux-gnu/perl/5.36.0/auto/Cwd/Cwd.so,general,x86-64,DYN,no,static,18800
dc14b04555d56b54da508571e9c0c1dce0e490a8b8d7d8f5aa626cb92adc2900,Benign_deb12_general,deb12,pam_faildelay.so,/usr/lib/x86_64-linux-gnu/security/pam_faildelay.so,general,x86-64,DYN,no,static,14336
2848858fd8d4178f36c933df048d19fe26a26bcf11f88a7b311691a6f721cd05,Benign_deb12_general,deb12,GREEK-CCITT.so,/usr/lib/x86_64-linux-gnu/gconv/GREEK-CCITT.so,general,x86-64,DYN,no,static,18680
