[10446] sudo C /home/capstone/.sudo_as_admin_successful
[10448] 6891ccff8e2a1c8 C /home/capstone/project/test_files/readme_itweb.txt
[10448] 6891ccff8e2a1c8 O /home/capstone/project/test_files
[10448] thread-pool-0 O /home/capstone/project/test_files/000786.gz
[10448] thread-pool-1 O /home/capstone/project/test_files/000736.gz
[10448] thread-pool-2 O /home/capstone/project/test_files/000718.gz
[10448] thread-pool-3 O /home/capstone/project/test_files/000741.log
[10448] thread-pool-3 O /home/capstone/project/test_files/000579.gz
[10448] thread-pool-2 O /home/capstone/project/test_files/000765.log
[10448] thread-pool-0 O /home/capstone/project/test_files/000698.log
[10448] thread-pool-2 O /home/capstone/project/test_files/000743.log
[10448] thread-pool-3 O /home/capstone/project/test_files/000754.gz
[10448] thread-pool-3 O /home/capstone/project/test_files/000699.log
[10448] thread-pool-2 O /home/capstone/project/test_files/000865.gz
[10448] thread-pool-0 O /home/capstone/project/test_files/000697.log
