[449] systemd-udevd D /run/udev/queue
[4581] sshd O /home/capstone/.ssh/authorized_keys
[4581] sshd O /home/capstone/.ssh/authorized_keys
[4624] bash O /home/capstone/.bashrc
[4625] rm D /tmp/malware_fail.log
[4624] bash O /home/capstone/project/run_malware_infected.sh
[4626] sudo C /home/capstone/.sudo_as_admin_successful
[4628] sudo C /home/capstone/.sudo_as_admin_successful
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000615.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000418.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000440.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000533.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000517.gif
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000163.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000574.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000509.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000231.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000098.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000986.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000255.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000716.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000174.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000355.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000379.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000084.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000272.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000638.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000881.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000786.gz
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000567.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000802.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000155.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000939.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000204.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000588.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000825.pdf
