num_readable_segments,num_segments_actual,num_executable_sections,num_program_headers_declared,num_load_segments,num_executable_segments,avg_segment_memsz,entry_point,max_segment_filesz,text_ratio,data_size,avg_segment_filesz,max_segment_memsz,file_size,bss_ratio,max_section_size,rodata_ratio,data_ratio,elf_type_ET_DYN,avg_section_size,rodata_size,text_size,num_sections_declared,num_writable_sections,has_got_plt,bss_size,num_alloc_sections,num_sections_actual,num_known_sections,num_unusual_sections,elf_type_ET_EXEC,has_unusual_section,is_stripped,has_strtab,has_plt,has_symtab,has_bss,has_rodata,machine_EM_X86_64,is_64bit,byte_f_146,byte_f_205,byte_f_3,byte_f_204,byte_f_298,byte_f_176,byte_f_162,byte_f_237,byte_f_58,byte_f_202,byte_f_210,byte_f_143,byte_f_228,byte_f_31,byte_f_91,byte_f_41,byte_f_73,byte_f_75,byte_f_177,byte_f_159,byte_f_278,byte_f_242,byte_f_155,byte_f_261,byte_f_118,byte_f_208,byte_f_209,byte_f_66,byte_f_154,byte_f_4,byte_f_114,byte_f_230,byte_f_122,byte_f_116,byte_f_67,byte_f_250,byte_f_260,byte_f_46,byte_f_273,byte_f_251,byte_f_9,byte_f_151,byte_f_33,byte_f_112,byte_f_282,byte_f_51,byte_f_142,byte_f_279,byte_f_125,byte_f_200,byte_f_115,byte_f_26,byte_f_22,byte_f_196,byte_f_59,byte_f_34,byte_f_117,byte_f_15,byte_f_156,byte_f_145,byte_f_23,byte_f_93,byte_f_124,byte_f_193,byte_f_126,byte_f_55,byte_f_38,byte_f_10,byte_f_111,byte_f_42,byte_f_215,byte_f_231,byte_f_206,byte_f_16,byte_f_149,byte_f_139,byte_f_57,byte_f_37,byte_f_32,byte_f_79,opcode_f_238,opcode_f_233,opcode_f_225,opcode_f_218,opcode_f_234,opcode_f_229,opcode_f_43,opcode_f_235,opcode_f_305,opcode_f_333,opcode_f_110,opcode_f_50,opcode_f_150,opcode_f_73,opcode_f_492,opcode_f_160,opcode_f_330,opcode_f_75,opcode_f_100,opcode_f_117,opcode_f_179,opcode_f_332,opcode_f_136,opcode_f_51,opcode_f_176,opcode_f_25,opcode_f_47,opcode_f_169,opcode_f_5,opcode_f_52,opcode_f_464,opcode_f_257,opcode_f_227,opcode_f_97,opcode_f_11,opcode_f_467,opcode_f_38,opcode_f_253,opcode_f_0,opcode_f_329,opcode_f_172,opcode_f_30,opcode_f_112,opcode_f_248,opcode_f_279,opcode_f_334,opcode_f_26,opcode_f_60,opcode_f_77,opcode_f_105,opcode_f_350,opcode_f_390,opcode_f_438,opcode_f_426,opcode_f_413,opcode_f_12,opcode_f_387,opcode_f_418,opcode_f_64,opcode_f_107,opcode_f_32,opcode_f_101,opcode_f_321,opcode_f_111,opcode_f_59,opcode_f_182,opcode_f_87,opcode_f_135,opcode_f_424,opcode_f_22,opcode_f_420,opcode_f_193,opcode_f_204,opcode_f_281,opcode_f_360,opcode_f_288,opcode_f_3,opcode_f_371,opcode_f_130,opcode_f_314,label
8,8,4,8.0,2,2,208603.125,4278496.0,1404181,0.5688604118088764,2112,207062.125,1404181,1619392,0.0076077935422677,921208,0.0690709846658499,0.0013041931786744,False,52528.48387096774,111853,921208,31.0,10,1,12320,28,31,27,4,True,1,1,0,1,0,1,1,True,1.0,2607,0,18853,0,581,647,76,379,1893,1929,551,161,3,855,1678,2929,411,2059,1543,306,637,200,357,451,420,327,127,1029,357,12324,518,493,515,210,1029,94,801,1698,719,44,3489,714,1828,126,851,3699,477,637,493,774,681,3261,4078,1803,1318,1381,420,4452,2499,830,6660,623,493,87,0,1762,4286,507,532,487,483,518,633,2301,949,686,1670,340,1828,2530,0,0,0,0,0,0,829,0,68,145,194,155,55,835,3,34,64,328,226,183,36,145,129,673,61,1015,1051,213,3236,1219,84,245,462,114,3546,30,1434,115,20949,146,557,668,303,30,17,23,642,223,72,336,21,91,6,15,37,3672,4,5,499,494,562,35,155,217,637,184,452,197,50,693,0,226,369,69,207,157,10806,14,169,57,1
8,8,4,8.0,2,2,208646.625,4278736.0,1404521,0.5688505315575229,2112,207105.625,1404521,1619392,0.0076077935422677,921192,0.0690907451685571,0.0013041931786744,False,52540.41935483871,111885,921192,31.0,10,1,12320,28,31,27,4,True,1,1,0,1,0,1,1,True,1.0,2607,0,18851,0,574,648,76,380,1893,1929,552,161,3,858,1679,2929,411,2059,1545,304,637,203,357,447,420,328,127,1029,357,12327,517,493,515,208,1029,85,801,1687,719,44,3503,717,1829,126,851,3699,477,637,493,774,685,3232,4078,1801,1318,1381,420,4456,2499,830,6682,628,493,87,0,1762,4283,511,532,492,479,522,634,2296,950,687,1673,340,1829,2529,0,0,0,0,0,0,828,0,68,148,194,155,56,834,3,34,64,328,226,183,36,148,129,672,61,1015,1051,214,3234,1219,84,245,462,114,3546,30,1435,115,20951,149,557,668,303,30,17,23,642,223,73,335,21,91,6,15,37,3672,4,5,500,494,564,35,155,217,637,184,452,196,50,694,0,225,369,69,207,157,10812,14,169,57,1
8,8,4,8.0,2,2,207820.625,4277808.0,1398241,0.5680782565626548,2112,206299.625,1398241,1615200,0.0075284794452699,917560,0.0687549529470034,0.0013075780089153,False,52329.54838709677,111053,917560,31.0,10,1,12160,28,31,27,4,True,1,1,0,1,0,1,1,True,1.0,2607,0,18847,0,574,645,76,377,1880,1917,547,161,3,851,1677,2927,412,2053,1538,302,636,202,354,446,417,320,127,1026,354,12306,516,489,515,209,1024,83,801,1682,718,44,3501,713,1826,126,851,3693,473,636,489,773,677,3660,4051,1803,1315,1366,417,4431,2499,827,7012,607,489,87,0,1719,4282,510,527,488,480,517,632,2291,944,685,1657,330,1826,2530,0,0,0,0,0,0,825,0,70,136,194,155,49,828,3,34,64,328,226,183,36,136,129,674,61,1014,1051,211,3228,1213,83,245,462,114,3544,30,1429,117,20918,137,557,667,303,30,17,23,641,223,67,331,21,92,6,15,36,3669,4,5,498,492,559,35,155,217,633,184,447,196,50,689,0,223,367,69,207,156,10754,14,168,57,1
8,8,4,8.0,2,2,208781.125,4278496.0,1405581,0.5693059039642878,2112,207240.125,1405581,1620064,0.0076046378414679,922312,0.0691015910482548,0.0013036522013945,False,52574.16129032258,111949,922312,31.0,10,1,12320,28,31,27,4,True,1,1,0,1,0,1,1,True,1.0,2607,0,18864,0,574,647,76,379,1895,1936,549,161,3,861,1678,2931,411,2060,1544,304,640,202,358,451,421,327,126,1029,358,12327,519,494,515,210,1029,83,801,1689,720,44,3507,715,1831,126,851,3699,479,640,494,776,685,3168,4081,1803,1319,1388,421,4462,2499,829,6674,625,494,88,0,1773,4285,510,533,483,482,519,633,2300,953,686,1675,345,1831,2529,0,0,0,0,0,0,831,0,68,145,194,155,52,835,3,34,64,328,226,183,36,145,129,675,61,1016,1051,214,3236,1220,84,247,462,114,3546,30,1434,115,20956,146,557,667,303,30,17,23,641,226,69,337,21,91,6,15,36,3675,4,5,502,494,562,34,155,217,644,185,452,196,50,690,0,228,370,69,207,159,10817,14,170,57,1
8,8,4,8.0,2,2,208668.125,4278736.0,1404693,0.5689493340710587,2112,207127.125,1404693,1619392,0.0076077935422677,921352,0.0690512241631427,0.0013041931786744,False,52545.967741935485,111821,921352,31.0,10,1,12320,28,31,27,4,True,1,1,0,1,0,1,1,True,1.0,2607,0,18868,0,581,649,76,379,1893,1927,552,161,3,911,1679,2929,412,2059,1545,303,637,204,358,445,421,328,127,1028,358,12329,516,494,515,208,1028,84,801,1688,719,44,3520,714,1831,126,851,3697,479,637,494,774,689,3229,4068,1802,1320,1380,421,4456,2499,829,6663,629,494,87,0,1767,4283,513,534,492,479,518,632,2299,951,687,1674,340,1831,2528,0,0,0,0,0,0,829,0,68,148,194,155,55,832,3,34,64,328,226,183,36,148,129,676,61,1015,1051,214,3235,1219,83,245,462,114,3545,30,1434,115,20955,149,557,668,303,30,17,23,642,223,73,336,21,91,7,15,37,3671,4,5,499,494,565,35,155,217,637,184,452,196,50,694,0,225,369,69,207,157,10809,14,169,57,1
9,9,5,9.0,2,2,7190.111111111111,134515840.0,60584,0.8072495713935831,2176,7185.222222222223,60584,65328,0.0006735243693362,52736,0.0221956894440362,0.0333088415380847,False,2178.793103448276,1450,52736,29.0,8,1,44,26,29,28,1,True,1,1,0,1,0,1,1,False,0.0,40,0,11,0,25,67,0,33,0,0,52,0,0,68,0,0,4,0,16,292,0,7,0,0,0,29,818,0,0,523,412,0,0,29,0,1,0,16,0,0,2,10,0,0,0,0,0,0,0,0,0,3,0,0,0,484,0,0,0,0,0,61,0,0,0,0,0,32,0,26,4,8,0,3,0,19,99,0,0,4,0,0,0,0,0,0,49,0,30,0,168,0,0,0,0,2,26,0,220,39,66,0,191,19,41,41,29,0,183,0,0,14,0,64,545,0,41,157,2196,0,176,308,22,0,0,238,665,0,0,6,1,0,1,0,1,377,50,0,0,0,0,0,1,242,0,1,1,83,1,352,0,0,0,0,1,0,0,0,1,0,1
13,13,6,13.0,4,1,5345.615384615385,9696.0,51153,0.6355116255249411,2208,5341.307692307692,51153,78104,0.0007169927276451,49636,0.0615589470449656,0.0282699989757246,True,2278.206896551724,4808,49636,29.0,6,0,56,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,56,157,0,157,44,5,245,39,273,34,69,22,1,58,163,494,983,56,42,667,5,9,1,2,1,15,836,47,1,1017,417,1,23,30,47,53,36,18,78,52,789,8,3,3,0,15,1,5,1,0,0,51,159,0,2,489,1,299,50,1,0,4,1,47,0,7,26,3,1,29,3,6,0,4,272,19,0,23,3,8,44,45,46,47,45,45,37,45,21,0,180,3,0,5,5,2,21,2,239,38,4,0,117,13,42,49,41,1,256,7,1,3,57,64,519,33,66,78,1059,0,22,287,53,0,23,100,450,13,0,23,1,1,6,33,1,246,53,10,1,2,4,5,1,146,1,0,0,47,51,234,58,1,0,9,28,4,172,0,1,3,1
13,13,6,13.0,4,1,5337.0,9696.0,52225,0.6851691709004432,2208,5332.692307692308,52225,74008,0.000756674954059,50708,0.0489676791698194,0.0298346124743271,True,2274.344827586207,3624,50708,29.0,6,0,56,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,56,157,0,157,45,5,279,39,307,34,73,22,1,58,163,528,1017,56,42,666,5,9,1,2,1,14,836,47,1,1017,417,1,57,30,47,51,36,18,78,51,823,8,2,3,0,15,1,5,1,0,0,53,159,0,2,489,1,299,50,1,1,5,1,47,0,7,27,50,1,29,3,6,0,4,306,20,0,57,2,8,44,45,46,47,45,45,37,45,21,0,180,3,0,5,5,2,21,2,239,38,4,0,117,13,42,49,41,1,256,7,1,3,57,64,519,33,66,78,1059,0,22,287,53,0,23,100,450,13,0,23,1,1,6,33,1,246,53,10,1,2,4,5,1,146,1,0,0,47,51,234,58,1,0,9,28,4,172,0,1,3,1
13,13,6,13.0,4,1,5216.384615384615,9696.0,51809,0.6795481569560048,2208,5212.076923076923,51809,74008,0.000756674954059,50292,0.0334017944006053,0.0298346124743271,True,2220.2758620689656,2472,50292,29.0,6,0,56,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,56,157,0,157,45,5,261,40,293,34,68,22,1,58,163,510,999,56,42,666,5,10,1,2,1,14,836,47,1,1017,418,1,39,30,47,52,36,18,78,51,811,8,2,5,0,15,1,5,1,0,0,54,159,0,2,489,1,299,50,1,0,5,1,47,0,7,27,50,1,31,3,6,0,4,292,19,0,39,2,8,44,45,46,47,45,45,37,45,21,0,180,3,0,5,5,2,21,2,239,38,4,0,117,13,42,49,41,1,260,7,1,3,57,64,519,33,66,78,1060,0,22,287,53,0,23,100,450,15,0,23,1,1,6,33,1,246,53,10,1,2,4,5,1,146,1,0,0,47,51,234,58,1,0,9,28,4,172,0,1,3,1
13,13,6,13.0,4,1,5177.0,9696.0,51809,0.6795481569560048,2208,5172.692307692308,51809,74008,0.000756674954059,50292,0.0264836233920657,0.0298346124743271,True,2202.620689655173,1960,50292,29.0,6,0,56,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,56,157,0,157,44,5,261,40,293,34,68,22,1,60,163,510,999,56,42,666,5,10,1,2,1,14,836,47,1,1017,418,1,39,30,47,51,36,18,78,52,811,8,2,5,0,15,1,5,1,0,0,54,159,0,2,489,1,299,50,1,0,5,1,47,1,7,27,51,1,30,11,6,0,4,292,18,0,39,2,8,44,45,46,47,45,45,37,45,21,0,180,3,0,5,5,2,21,2,239,38,4,0,117,13,42,49,41,1,260,7,1,3,57,64,519,33,66,78,1060,0,22,287,53,0,23,100,450,15,0,23,1,1,6,33,1,246,53,10,1,2,4,5,1,146,1,0,0,47,51,234,58,1,0,9,28,4,172,0,1,3,1
