[11453] sudo C /home/capstone/.sudo_as_admin_successful
[11455] 113c3c3aeafbc59 C /home/capstone/project/test_files/help-readme.txt
[11455] 113c3c3aeafbc59 O /home/capstone/project/test_files
[11455] thread-pool-0 O /home/capstone/project/test_files/data_161.log
[11455] thread-pool-1 O /home/capstone/project/test_files/data_306.log
[11455] thread-pool-2 O /home/capstone/project/test_files/data_187.log
[11455] thread-pool-3 O /home/capstone/project/test_files/data_411.log
[11455] thread-pool-2 O /home/capstone/project/test_files/data_924.log
[11455] thread-pool-1 O /home/capstone/project/test_files/data_114.log
[11455] thread-pool-0 O /home/capstone/project/test_files/data_126.log
[11455] thread-pool-3 O /home/capstone/project/test_files/data_660.log
[11455] thread-pool-2 O /home/capstone/project/test_files/data_817.log
[11455] thread-pool-1 O /home/capstone/project/test_files/data_819.log
[11455] thread-pool-3 O /home/capstone/project/test_files/data_786.log
[11455] thread-pool-0 O /home/capstone/project/test_files/data_291.log
[11455] thread-pool-1 O /home/capstone/project/test_files/data_323.log
[11455] thread-pool-2 O /home/capstone/project/test_files/data_774.log
[11455] thread-pool-3 O /home/capstone/project/test_files/data_983.log
[11455] thread-pool-0 O /home/capstone/project/test_files/data_993.log
[11455] thread-pool-2 O /home/capstone/project/test_files/data_68.log
[11455] thread-pool-3 O /home/capstone/project/test_files/data_537.log
[11455] thread-pool-1 O /home/capstone/project/test_files/data_335.log
[11455] thread-pool-0 O /home/capstone/project/test_files/data_378.log
[11455] thread-pool-3 O /home/capstone/project/test_files/data_210.log
[11455] thread-pool-2 O /home/capstone/project/test_files/data_227.log
[11455] thread-pool-1 O /home/capstone/project/test_files/data_49.log
[11455] thread-pool-0 O /home/capstone/project/test_files/data_738.log
[11455] thread-pool-2 O /home/capstone/project/test_files/data_380.log
[11455] thread-pool-3 O /home/capstone/project/test_files/data_921.log
[11455] thread-pool-0 O /home/capstone/project/test_files/data_351.log
[11455] thread-pool-1 O /home/capstone/project/test_files/data_645.log
