[10857] sudo C /home/capstone/.sudo_as_admin_successful
[10859] f864922f947a6bb O /home/capstone/project/test_files
[10859] f864922f947a6bb C /home/capstone/project/test_files/000615.html.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000615.html
[10859] f864922f947a6bb D /home/capstone/project/test_files/000615.html.lck
[10859] f864922f947a6bb C /home/capstone/project/test_files/000533.doc.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000533.doc
[10859] f864922f947a6bb C /home/capstone/project/test_files/000418.html.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000418.html
[10859] f864922f947a6bb C /home/capstone/project/test_files/000440.html.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000440.html
[10859] f864922f947a6bb D /home/capstone/project/test_files/000418.html.lck
[10859] f864922f947a6bb D /home/capstone/project/test_files/000440.html.lck
[10859] f864922f947a6bb C /home/capstone/project/test_files/000163.pdf.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000163.pdf
[10859] f864922f947a6bb C /home/capstone/project/test_files/000517.gif.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000517.gif
[10859] f864922f947a6bb C /home/capstone/project/test_files/000574.pdf.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000574.pdf
[10859] f864922f947a6bb D /home/capstone/project/test_files/000533.doc.lck
[10859] f864922f947a6bb D /home/capstone/project/test_files/000574.pdf.lck
[10859] f864922f947a6bb C /home/capstone/project/test_files/000231.jpg.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000231.jpg
[10859] f864922f947a6bb D /home/capstone/project/test_files/000231.jpg.lck
[10859] f864922f947a6bb D /home/capstone/project/test_files/000517.gif.lck
[10859] f864922f947a6bb C /home/capstone/project/test_files/000509.jpg.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000509.jpg
[10859] f864922f947a6bb D /home/capstone/project/test_files/000163.pdf.lck
[10859] f864922f947a6bb C /home/capstone/project/test_files/000098.txt.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000098.txt
[10859] f864922f947a6bb C /home/capstone/project/test_files/000716.ppt.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000716.ppt
[10859] f864922f947a6bb C /home/capstone/project/test_files/000255.doc.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000255.doc
[10859] f864922f947a6bb C /home/capstone/project/test_files/000986.ppt.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000986.ppt
[10859] f864922f947a6bb C /home/capstone/project/test_files/000174.ppt.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000174.ppt
[10859] f864922f947a6bb D /home/capstone/project/test_files/000255.doc.lck
[10859] f864922f947a6bb C /home/capstone/project/test_files/000355.pdf.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000355.pdf
[10859] f864922f947a6bb C /home/capstone/project/test_files/000379.pdf.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000379.pdf
[10859] f864922f947a6bb D /home/capstone/project/test_files/000986.ppt.lck
[10859] f864922f947a6bb C /home/capstone/project/test_files/000786.gz.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000786.gz
[10859] f864922f947a6bb D /home/capstone/project/test_files/000355.pdf.lck
[10859] f864922f947a6bb C /home/capstone/project/test_files/000084.txt.lck
[10859] f864922f947a6bb O /home/capstone/project/test_files/000084.txt
