[6193] sudo C /home/capstone/.sudo_as_admin_successful
[1] systemd D /run/systemd/units/.#invocation:whoopsie.service4f8833eb237dcde1
[2223] systemd D /run/user/1000/systemd/units/.#invocation:update-notifier-crash.service465a90a8a6b0ec24
[6198] whoopsie D /var/lock/whoopsie/lock
[365] systemd-journal D /run/systemd/journal/streams/9:45601
[1] systemd D /run/systemd/units/invocation:whoopsie.service
[3777] fwupd D /var/lib/fwupd/metadata/lvfs/ReadMeForDecrypt.txt
[2254] dbus-daemon O /home/capstone/.local/share/dbus-1/services
[1] systemd D /run/systemd/units/.#invocation:whoopsie.service00c1c8fff18e5109
[365] systemd-journal D /run/systemd/journal/streams/9:46795
[6207] whoopsie D /var/lock/whoopsie/lock
[1] systemd D /run/systemd/units/invocation:whoopsie.service
[365] systemd-journal D /run/systemd/journal/streams/9:45622
[2223] systemd D /run/user/1000/systemd/units/invocation:update-notifier-crash.service
[3393] pool-org.gnome. O /home/capstone/project/malware/lockbit/.hidden
[2455] pool-gnome-shel O /home/capstone/.local/share/icc/.hidden
[5823] pool-gjs O /home/capstone/.local/share/nautilus/scripts
[5823] gjs O /home/capstone/.local/share/nautilus/scripts/.hidden
[5823] gjs O /home/capstone/.local/share/gvfs-metadata/home
[5823] gjs O /home/capstone/.local/share/gvfs-metadata/home-933b281a.log
[2987] pool O /home/capstone/.local/share/Trash/info/ReadMeForDecrypt.txt.trashinfo
[5823] pool-gjs O /home/capstone/Templates
[5823] gjs O /home/capstone/Templates/.hidden
[5823] pool-gjs O /home/capstone/Desktop
[5823] gjs O /home/capstone/.cache/thumbnails/large/49301c38ff36baaf63acc16042587cc2.png
[5823] gjs O /home/capstone/.cache/thumbnails/normal/49301c38ff36baaf63acc16042587cc2.png
[5823] gjs O /home/capstone/.cache/thumbnails/fail/gnome-thumbnail-factory/49301c38ff36baaf63acc16042587cc2.png
[5823] gjs O /home/capstone/Desktop/.hidden
[5823] gjs O /home/capstone/.cache/thumbnails/large/25b14d0c7d15880589503f4b69257260.png
[5823] gjs O /home/capstone/.cache/thumbnails/normal/25b14d0c7d15880589503f4b69257260.png
[5823] gjs O /home/capstone/.cache/thumbnails/fail/gnome-thumbnail-factory/25b14d0c7d15880589503f4b69257260.png
[5823] pool-gjs O /home/capstone/Desktop
[5823] gjs O /home/capstone/.cache/thumbnails/large/49301c38ff36baaf63acc16042587cc2.png
[5823] gjs O /home/capstone/.cache/thumbnails/normal/49301c38ff36baaf63acc16042587cc2.png
[5823] gjs O /home/capstone/.cache/thumbnails/fail/gnome-thumbnail-factory/49301c38ff36baaf63acc16042587cc2.png
[5823] gjs O /home/capstone/.cache/thumbnails/large/25b14d0c7d15880589503f4b69257260.png
[5823] gjs O /home/capstone/.cache/thumbnails/normal/25b14d0c7d15880589503f4b69257260.png
[5823] gjs O /home/capstone/.cache/thumbnails/fail/gnome-thumbnail-factory/25b14d0c7d15880589503f4b69257260.png
[2608] gsd-sound O /home/capstone/.pulse/client.conf
[2608] gsd-sound O /home/capstone/.config/pulse/client.conf
[2608] gsd-sound O /home/capstone/.config/pulse/cookie
[2223] systemd D /run/user/1000/systemd/units/.#invocation:update-notifier-crash.service325188f3eefdc99d
[1] systemd D /run/systemd/units/.#invocation:whoopsie.servicece5b3ef5a7365eb4
[6228] whoopsie D /var/lock/whoopsie/lock
[365] systemd-journal D /run/systemd/journal/streams/9:46876
[1] systemd D /run/systemd/units/invocation:whoopsie.service
[6225] apport O /home/capstone/.apport-ignore.xml
[1] systemd D /run/systemd/units/.#invocation:whoopsie.serviceb1907389eda267f5
[365] systemd-journal D /run/systemd/journal/streams/9:34980
[1] systemd D /run/systemd/units/invocation:fwupd.service
[6236] (sd-rmrf) D ReadMeForDecrypt.txt
[6236] (sd-rmrf) D ReadMeForDecrypt.txt
[6236] (sd-rmrf) D tmp
[6236] (sd-rmrf) D /tmp/systemd-private-4b986491ba724bf0a56332546e30207a-fwupd.service-VR7we3
[6237] (sd-rmrf) D ReadMeForDecrypt.txt
[6237] (sd-rmrf) D ReadMeForDecrypt.txt
[6237] (sd-rmrf) D tmp
