[6854] sudo C /home/capstone/.sudo_as_admin_successful
[420] systemd-udevd D /run/udev/queue
[6858] (udev-worker) D 44
[6858] (udev-worker) D b7:11
[6860] (udev-worker) D 28
[6860] (udev-worker) D b7:9
[6859] (udev-worker) D 31
[6859] (udev-worker) D b7:10
[6861] (udev-worker) D 33
[6861] (udev-worker) D b7:8
[6862] (udev-worker) D 37
[6862] (udev-worker) D b8:0
[6858] (udev-worker) D b7:11
[6859] (udev-worker) D /dev/block/.#7:1077956f858a007f3e
[6858] (udev-worker) D /dev/disk/by-diskseq/38
[6858] (udev-worker) D b7:11
[6858] (udev-worker) D /dev/disk/by-diskseq/.#3965937fa9b730445d
[6858] (udev-worker) D /dev/block/.#7:11b9258438238f090e
[6860] (udev-worker) D /dev/block/.#7:9161407806971754e
[6862] (udev-worker) D /dev/block/.#8:0d9a8f3293d35757c
[6858] (udev-worker) D 27
[6858] (udev-worker) D b7:7
[6859] (udev-worker) D 38
[6859] (udev-worker) D b8:2
[6861] (udev-worker) D 36
[6861] (udev-worker) D b7:5
[6877] (udev-worker) D 32
[6877] (udev-worker) D b7:4
[6862] (udev-worker) D 39
[6862] (udev-worker) D b8:1
[6878] (udev-worker) D 29
[6878] (udev-worker) D b7:3
[6860] (udev-worker) D 35
[6860] (udev-worker) D b7:6
[6880] (udev-worker) D 30
[6880] (udev-worker) D b7:1
[6881] (udev-worker) D 26
[6881] (udev-worker) D b7:0
[6879] (udev-worker) D 34
[6879] (udev-worker) D b7:2
[6882] (udev-worker) D 45
[6882] (udev-worker) D b7:11
[6883] (udev-worker) D 46
[6883] (udev-worker) D b7:10
[6877] (udev-worker) D /dev/block/.#7:4df02594378986a4f
[6862] (udev-worker) D b8:1
[6862] (udev-worker) D /dev/disk/by-partuuid/29b3a94d-dd87-4d50-aed7-c92301f53f4b
[6861] (udev-worker) D /dev/block/.#7:5b6adecf4a63dadbf
[6859] (udev-worker) D b8:2
[6859] (udev-worker) D /dev/disk/by-partuuid/69da3fc7-aa6c-4e77-bc7b-3e0640fb4669
[6862] (udev-worker) D /dev/block/.#8:175ae3b3ccc567817
[6877] (udev-worker) D 48
[6877] (udev-worker) D b7:8
[6883] (udev-worker) D /dev/block/.#7:10b7b408cb39a40d68
[6861] (udev-worker) D 47
[6861] (udev-worker) D b7:9
[6859] (udev-worker) D /dev/block/.#8:2547214516dcca81d
[6862] (udev-worker) D 50
[6862] (udev-worker) D b7:4
[6882] (udev-worker) D /dev/block/.#7:111860128459e0b937
[6858] (udev-worker) D /dev/block/.#7:7a0f392b7c871d79b
[6878] (udev-worker) D /dev/block/.#7:3346925d168618d36
[6882] (udev-worker) D 55
[6882] (udev-worker) D b7:7
[6878] (udev-worker) D 57
[6878] (udev-worker) D b7:3
