[449] systemd-udevd D /run/udev/queue
[4572] sshd O /home/capstone/.ssh/authorized_keys
[4572] sshd O /home/capstone/.ssh/authorized_keys
[4615] bash O /home/capstone/.bashrc
[4616] rm D /tmp/malware_fail.log
[4615] bash O /home/capstone/project/run_malware_infected.sh
[4617] sudo C /home/capstone/.sudo_as_admin_successful
[4619] sudo C /home/capstone/.sudo_as_admin_successful
[1259] systemd-logind D /run/systemd/sessions/17.ref
[1] systemd D /run/systemd/units/invocation:session-17.scope
[1] systemd D /run/systemd/transient/session-17.scope
[1259] systemd-logind D /run/systemd/sessions/17
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home.1HOCM3
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log.FXWCM3
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata
[2947] gvfsd-metadata D /home/capstone/.local/share/gvfs-metadata/home-99b9ab4e.log
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log
[4631] sshd O /home/capstone/.ssh/authorized_keys
[4631] sshd O /home/capstone/.ssh/authorized_keys
[4674] bash O /home/capstone/.bashrc
[4674] sudo C /home/capstone/.sudo_as_admin_successful
[1259] systemd-logind D /run/systemd/sessions/18.ref
[1] systemd D /run/systemd/units/invocation:session-18.scope
[1] systemd D /run/systemd/transient/session-18.scope
[1259] systemd-logind D /run/systemd/sessions/18
[4682] sshd O /home/capstone/.ssh/authorized_keys
[4682] sshd O /home/capstone/.ssh/authorized_keys
[4725] bash O /home/capstone/.bashrc
[4725] sudo C /home/capstone/.sudo_as_admin_successful
