[449] systemd-udevd D /run/udev/queue
[4574] sshd O /home/capstone/.ssh/authorized_keys
[4574] sshd O /home/capstone/.ssh/authorized_keys
[4617] bash O /home/capstone/.bashrc
[4618] rm D /tmp/malware_fail.log
[4617] bash O /home/capstone/project/run_malware_infected.sh
[4619] sudo C /home/capstone/.sudo_as_admin_successful
[4621] sudo C /home/capstone/.sudo_as_admin_successful
[4622] 113c3c3aeafbc59 C /home/capstone/project/test_files/help-readme.txt
[4622] 113c3c3aeafbc59 O /home/capstone/project/test_files
[4622] thread-pool-0 O /home/capstone/project/test_files/000741.log
[4622] thread-pool-1 O /home/capstone/project/test_files/000765.log
[4622] thread-pool-2 O /home/capstone/project/test_files/000698.log
[4622] thread-pool-3 O /home/capstone/project/test_files/000743.log
[4622] thread-pool-0 O /home/capstone/project/test_files/000699.log
[4622] thread-pool-1 O /home/capstone/project/test_files/000697.log
[1259] systemd-logind D /run/systemd/sessions/17.ref
[1] systemd D /run/systemd/units/invocation:session-17.scope
[1] systemd D /run/systemd/transient/session-17.scope
[1259] systemd-logind D /run/systemd/sessions/17
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home.11LBM3
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log.UCNBM3
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata
[2947] gvfsd-metadata D /home/capstone/.local/share/gvfs-metadata/home-99b9ab4e.log
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log
[4634] sshd O /home/capstone/.ssh/authorized_keys
[4634] sshd O /home/capstone/.ssh/authorized_keys
[4680] bash O /home/capstone/.bashrc
[4680] sudo C /home/capstone/.sudo_as_admin_successful
[1259] systemd-logind D /run/systemd/sessions/18.ref
[1] systemd D /run/systemd/units/invocation:session-18.scope
[1] systemd D /run/systemd/transient/session-18.scope
[1259] systemd-logind D /run/systemd/sessions/18
[4691] sshd O /home/capstone/.ssh/authorized_keys
[4691] sshd O /home/capstone/.ssh/authorized_keys
[4734] bash O /home/capstone/.bashrc
[4734] sudo C /home/capstone/.sudo_as_admin_successful
