[449] systemd-udevd D /run/udev/queue
[4572] sshd O /home/capstone/.ssh/authorized_keys
[4572] sshd O /home/capstone/.ssh/authorized_keys
[4615] bash O /home/capstone/.bashrc
[4616] rm D /tmp/malware_fail.log
[4615] bash O /home/capstone/project/run_malware_infected.sh
[4617] sudo C /home/capstone/.sudo_as_admin_successful
[4619] sudo C /home/capstone/.sudo_as_admin_successful
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000615.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000418.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000615.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000440.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000418.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000533.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000440.html
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/RECOVER-nnvjxgy-FILES.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000517.gif
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000163.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000615.html.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000615.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000574.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000509.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000533.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000231.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000517.gif
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000440.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000163.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000574.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000098.txt
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000440.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000986.ppt
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000615.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000509.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000231.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000098.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000255.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000418.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000986.ppt
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000418.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000716.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000255.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000716.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000174.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000355.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000174.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000379.pdf
