[449] systemd-udevd D /run/udev/queue
[4573] sshd O /home/capstone/.ssh/authorized_keys
[4573] sshd O /home/capstone/.ssh/authorized_keys
[4619] bash O /home/capstone/.bashrc
[4620] rm D /tmp/malware_fail.log
[4619] bash O /home/capstone/project/run_malware_infected.sh
[4621] sudo C /home/capstone/.sudo_as_admin_successful
[4623] sudo C /home/capstone/.sudo_as_admin_successful
[4624] 6891ccff8e2a1c8 C /home/capstone/project/test_files/readme_itweb.txt
[4624] 6891ccff8e2a1c8 O /home/capstone/project/test_files
[4624] thread-pool-0 O /home/capstone/project/test_files/000786.gz
[4624] thread-pool-2 O /home/capstone/project/test_files/000736.gz
[4624] thread-pool-1 O /home/capstone/project/test_files/000718.gz
[4624] thread-pool-3 O /home/capstone/project/test_files/000741.log
[4624] thread-pool-3 O /home/capstone/project/test_files/000579.gz
[4624] thread-pool-0 O /home/capstone/project/test_files/000765.log
[4624] thread-pool-1 O /home/capstone/project/test_files/000698.log
[4624] thread-pool-3 O /home/capstone/project/test_files/000743.log
[4624] thread-pool-0 O /home/capstone/project/test_files/000754.gz
[4624] thread-pool-3 O /home/capstone/project/test_files/000699.log
[4624] thread-pool-0 O /home/capstone/project/test_files/000865.gz
[4624] thread-pool-1 O /home/capstone/project/test_files/000697.log
[1259] systemd-logind D /run/systemd/sessions/17.ref
[1] systemd D /run/systemd/units/invocation:session-17.scope
[1] systemd D /run/systemd/transient/session-17.scope
[1259] systemd-logind D /run/systemd/sessions/17
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home.AAKCM3
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log.C9ECM3
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata
[2947] gvfsd-metadata D /home/capstone/.local/share/gvfs-metadata/home-99b9ab4e.log
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log
[4636] sshd O /home/capstone/.ssh/authorized_keys
[4636] sshd O /home/capstone/.ssh/authorized_keys
[4679] bash O /home/capstone/.bashrc
[4679] sudo C /home/capstone/.sudo_as_admin_successful
[1259] systemd-logind D /run/systemd/sessions/18.ref
[1] systemd D /run/systemd/units/invocation:session-18.scope
[1] systemd D /run/systemd/transient/session-18.scope
[1259] systemd-logind D /run/systemd/sessions/18
[4690] sshd O /home/capstone/.ssh/authorized_keys
[4690] sshd O /home/capstone/.ssh/authorized_keys
[4736] bash O /home/capstone/.bashrc
[4736] sudo C /home/capstone/.sudo_as_admin_successful
