[449] systemd-udevd D /run/udev/queue
[4575] sshd O /home/capstone/.ssh/authorized_keys
[4575] sshd O /home/capstone/.ssh/authorized_keys
[4618] bash O /home/capstone/.bashrc
[4619] rm D /tmp/malware_fail.log
[4618] bash O /home/capstone/project/run_malware_infected.sh
[4620] sudo C /home/capstone/.sudo_as_admin_successful
[4622] sudo C /home/capstone/.sudo_as_admin_successful
[4623] 87db70368910dbf C /home/capstone/project/test_files/HowToRestore.txt
[4623] 87db70368910dbf O /home/capstone/project/test_files
[4623] thread-pool-0 O /home/capstone/project/test_files/000786.gz
[4623] thread-pool-1 O /home/capstone/project/test_files/000736.gz
[4623] thread-pool-2 O /home/capstone/project/test_files/000718.gz
[4623] thread-pool-3 O /home/capstone/project/test_files/000741.log
[4623] thread-pool-3 O /home/capstone/project/test_files/000579.gz
[4623] thread-pool-0 O /home/capstone/project/test_files/000765.log
[4623] thread-pool-2 O /home/capstone/project/test_files/000698.log
[4623] thread-pool-3 O /home/capstone/project/test_files/000743.log
[4623] thread-pool-0 O /home/capstone/project/test_files/000754.gz
[4623] thread-pool-3 O /home/capstone/project/test_files/000699.log
[4623] thread-pool-0 O /home/capstone/project/test_files/000865.gz
[4623] thread-pool-2 O /home/capstone/project/test_files/000697.log
[1259] systemd-logind D /run/systemd/sessions/17.ref
[1] systemd D /run/systemd/units/invocation:session-17.scope
[1] systemd D /run/systemd/transient/session-17.scope
[1259] systemd-logind D /run/systemd/sessions/17
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home.HVHCM3
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log.ZXPCM3
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata
[2947] gvfsd-metadata D /home/capstone/.local/share/gvfs-metadata/home-99b9ab4e.log
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log
[4637] sshd O /home/capstone/.ssh/authorized_keys
[369] systemd-journal D /run/systemd/journal/streams/9:36782
[1] systemd D /run/systemd/units/invocation:sysstat-collect.service
[4637] sshd O /home/capstone/.ssh/authorized_keys
[4685] bash O /home/capstone/.bashrc
[4685] sudo C /home/capstone/.sudo_as_admin_successful
[1] systemd D /run/systemd/units/invocation:session-18.scope
[1] systemd D /run/systemd/transient/session-18.scope
[1259] systemd-logind D /run/systemd/sessions/18.ref
[1259] systemd-logind D /run/systemd/sessions/18
[4697] sshd O /home/capstone/.ssh/authorized_keys
[4697] sshd O /home/capstone/.ssh/authorized_keys
[4740] bash O /home/capstone/.bashrc
[4740] sudo C /home/capstone/.sudo_as_admin_successful
