[449] systemd-udevd D /run/udev/queue
[4569] sshd O /home/capstone/.ssh/authorized_keys
[4569] sshd O /home/capstone/.ssh/authorized_keys
[4612] bash O /home/capstone/.bashrc
[4613] rm D /tmp/malware_fail.log
[4612] bash O /home/capstone/project/run_malware_infected.sh
[4614] sudo C /home/capstone/.sudo_as_admin_successful
[4616] sudo C /home/capstone/.sudo_as_admin_successful
[4617] dc90560d7198bf8 C /home/capstone/project/test_files/How To Restore Your Files.txt
[4617] dc90560d7198bf8 O /home/capstone/project/test_files
[4617] thread-pool-1 O /home/capstone/project/test_files/000765.log
[4617] thread-pool-0 O /home/capstone/project/test_files/000741.log
[4617] thread-pool-2 O /home/capstone/project/test_files/000698.log
[4617] thread-pool-3 O /home/capstone/project/test_files/000743.log
[4617] thread-pool-3 O /home/capstone/project/test_files/000699.log
[4617] thread-pool-0 O /home/capstone/project/test_files/000697.log
[1259] systemd-logind D /run/systemd/sessions/17.ref
[1] systemd D /run/systemd/units/invocation:session-17.scope
[1] systemd D /run/systemd/transient/session-17.scope
[1259] systemd-logind D /run/systemd/sessions/17
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home.MSGCM3
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log.SWOCM3
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata
[2947] gvfsd-metadata D /home/capstone/.local/share/gvfs-metadata/home-99b9ab4e.log
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log
[4631] sshd O /home/capstone/.ssh/authorized_keys
[4631] sshd O /home/capstone/.ssh/authorized_keys
[4677] bash O /home/capstone/.bashrc
[4677] sudo C /home/capstone/.sudo_as_admin_successful
[1259] systemd-logind D /run/systemd/sessions/18.ref
[1] systemd D /run/systemd/units/invocation:session-18.scope
[1] systemd D /run/systemd/transient/session-18.scope
[1259] systemd-logind D /run/systemd/sessions/18
[4688] sshd O /home/capstone/.ssh/authorized_keys
[4688] sshd O /home/capstone/.ssh/authorized_keys
[4731] bash O /home/capstone/.bashrc
[4731] sudo C /home/capstone/.sudo_as_admin_successful
