[449] systemd-udevd D /run/udev/queue
[4566] sshd O /home/capstone/.ssh/authorized_keys
[4566] sshd O /home/capstone/.ssh/authorized_keys
[4609] bash O /home/capstone/.bashrc
[4610] rm D /tmp/malware_fail.log
[4609] bash O /home/capstone/project/run_malware_infected.sh
[4611] sudo C /home/capstone/.sudo_as_admin_successful
[4613] sudo C /home/capstone/.sudo_as_admin_successful
[1259] systemd-logind D /run/systemd/sessions/17.ref
[1] systemd D /run/systemd/units/invocation:session-17.scope
[1] systemd D /run/systemd/transient/session-17.scope
[1259] systemd-logind D /run/systemd/sessions/17
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home.PWTBM3
[2947] gvfsd-metadata C /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log.BEUBM3
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata
[2947] gvfsd-metadata D /home/capstone/.local/share/gvfs-metadata/home-99b9ab4e.log
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home
[2947] gvfsd-metadata O /home/capstone/.local/share/gvfs-metadata/home-3ec330a6.log
[4627] sshd O /home/capstone/.ssh/authorized_keys
[4627] sshd O /home/capstone/.ssh/authorized_keys
[4673] bash O /home/capstone/.bashrc
[4673] sudo C /home/capstone/.sudo_as_admin_successful
[1259] systemd-logind D /run/systemd/sessions/18.ref
[1] systemd D /run/systemd/units/invocation:session-18.scope
[1] systemd D /run/systemd/transient/session-18.scope
[1259] systemd-logind D /run/systemd/sessions/18
[4684] sshd O /home/capstone/.ssh/authorized_keys
[4684] sshd O /home/capstone/.ssh/authorized_keys
[4727] bash O /home/capstone/.bashrc
[4727] sudo C /home/capstone/.sudo_as_admin_successful
